DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
04/18/2018 03:12:41 PM,03/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,697527
04/18/2018 03:12:41 PM,09/01/2014 12:00:00 AM,Arrival,Domestic,Charter,630
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,693318
04/18/2018 03:12:41 PM,07/01/2015 12:00:00 AM,Arrival,Domestic,Charter,212
04/18/2018 03:12:41 PM,06/01/2013 12:00:00 AM,Arrival,Domestic,Charter,453
04/18/2018 03:12:41 PM,07/01/2014 12:00:00 AM,Arrival,International,Charter,133
04/18/2018 03:12:41 PM,11/01/2008 12:00:00 AM,Departure,Domestic,Commuter,125393
04/18/2018 03:12:41 PM,04/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,60343
04/18/2018 03:12:41 PM,07/01/2014 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2454149
04/18/2018 03:12:41 PM,08/01/2014 12:00:00 AM,Departure,Domestic,Commuter,9567
04/18/2018 03:12:41 PM,10/01/2007 12:00:00 AM,Departure,Domestic,Charter,1208
04/18/2018 03:12:41 PM,06/01/2008 12:00:00 AM,Arrival,Domestic,Charter,1105
04/18/2018 03:12:41 PM,06/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,165249
04/18/2018 03:12:41 PM,04/01/2014 12:00:00 AM,Departure,International,Scheduled Carriers,741210
04/18/2018 03:12:41 PM,09/01/2014 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2016457
04/18/2018 03:12:41 PM,05/01/2016 12:00:00 AM,Arrival,International,Charter,232
04/18/2018 03:12:41 PM,09/01/2013 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1883168
04/18/2018 03:12:41 PM,06/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,786884
04/18/2018 03:12:41 PM,12/01/2006 12:00:00 AM,Departure,Domestic,Charter,919
04/18/2018 03:12:41 PM,05/01/2007 12:00:00 AM,Arrival,International,Commuter,4471
04/18/2018 03:12:41 PM,02/01/2014 12:00:00 AM,Departure,Domestic,Charter,731
04/18/2018 03:12:41 PM,07/01/2011 12:00:00 AM,Departure,International,Scheduled Carriers,811488
04/18/2018 03:12:41 PM,06/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1908512
04/18/2018 03:12:41 PM,11/01/2006 12:00:00 AM,Departure,International,Charter,172
04/18/2018 03:12:41 PM,12/01/2007 12:00:00 AM,Arrival,Domestic,Charter,2600
04/29/2020 07:14:24 AM,03/01/2020 12:00:00 AM,Arrival,Domestic,Commuter,128
08/03/2020 07:35:04 AM,06/01/2020 12:00:00 AM,Departure,Domestic,Scheduled Carriers,454927
04/18/2018 03:12:41 PM,09/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,686584
